0user_handle,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,800,900,undefined
BurnedChicken,47,30,43,43,48,48,46,57,40,47,45,30,29,25,28,23,16,16,8,7,4,2,1,,,,125,34,7
ttklwxx,41,29,38,36,45,44,49,41,26,33,27,16,18,3,7,5,4,3,1,1,,,1,,,,99,33,82
Pointy,19,26,35,20,39,40,29,42,40,49,40,41,45,36,49,28,19,12,16,8,4,2,3,4,,1,101,23,1
Ormlis,29,24,27,29,27,46,32,45,43,33,41,39,36,20,24,14,14,5,3,3,,1,,1,,,60,22,110
peti1234,44,33,35,41,43,45,55,41,34,46,31,32,30,15,30,18,20,14,5,1,3,2,2,,1,2,61,33,5
cxm1024,33,40,37,40,37,42,39,45,49,50,49,39,51,56,41,33,12,15,4,1,2,,,,,,108,34,90
jiangly,9,14,17,16,13,15,19,5,14,26,23,12,19,19,4,7,8,5,2,,3,3,2,2,,1,69,13,8
hitonanode,2,3,2,3,1,5,6,4,4,11,5,5,10,5,3,1,5,2,,1,1,1,,,,,1,2,
orzdevinwang,16,13,16,11,14,33,32,20,21,39,31,35,30,52,54,48,53,61,23,48,33,19,12,10,6,9,32,10,1
turmax,15,3,21,11,13,15,12,19,15,15,10,9,5,13,7,1,1,2,,,,,,,,,24,10,34
Geothermal,22,14,17,11,15,22,22,17,18,17,11,14,13,7,7,4,2,1,1,,,,,,,,41,17,6
Kevin114514,35,25,30,23,34,33,33,31,36,21,36,22,25,10,15,10,6,5,,3,1,,,,,,134,28,31
LeoPro,34,29,50,37,36,39,37,35,23,31,16,31,12,16,15,5,5,10,1,3,,,,,,,66,32,93
tute7627,52,29,50,50,47,59,52,65,64,42,45,35,52,24,20,15,4,2,1,1,,,,,,,67,38,
antontrygubO_o,22,12,34,36,24,28,40,41,32,24,19,17,18,6,19,9,6,9,,,4,1,,,,,29,18,110
alireza_kaviani,185,157,155,132,102,114,103,98,73,98,80,72,63,56,60,26,19,6,1,4,,,,,2,,279,150,29
Flamire,42,31,44,47,54,48,62,53,48,53,43,29,44,28,33,27,28,19,8,2,2,1,,,,,80,43,19
Pyqe,75,42,55,62,56,91,91,121,86,85,70,69,59,56,46,25,7,9,3,2,,,,,,,167,69,11
Lynkcat,3,5,4,6,1,5,2,5,1,4,6,2,4,2,3,7,6,4,4,1,,,,,,,15,3,6
noimi,14,8,17,20,14,21,21,24,25,17,18,10,14,4,12,4,4,1,,,,,,,,,24,10,
nocriz,16,13,16,13,14,17,23,23,27,20,19,13,14,11,23,13,12,8,5,5,2,3,3,,,,25,18,26
Tlatoani,8,4,8,8,13,14,8,14,10,11,11,9,11,6,5,4,,1,,,,,,,,,13,8,11
Adam_GS,48,36,43,46,35,48,29,51,33,31,43,32,32,31,11,7,5,6,3,1,,,,,,,366,54,31
xuanxuan001,11,20,18,25,21,16,16,33,25,60,46,34,40,37,58,31,15,16,8,7,4,4,1,1,,,69,16,1
MagicalFlower,23,17,19,27,18,33,25,20,30,28,26,12,29,17,25,14,29,17,15,23,11,14,4,10,1,10,50,20,36
JCY_,7,5,3,5,4,4,6,5,5,3,6,9,6,6,3,8,5,17,20,22,30,20,28,23,10,13,5,2,60
maspy,19,20,40,35,23,37,26,35,32,38,27,36,25,12,5,4,3,4,1,1,,,,2,,,77,27,8
A_G,15,25,24,24,25,18,22,36,24,17,31,18,32,22,39,31,13,24,26,8,13,5,14,9,4,3,70,23,1
Alex_Wei,127,105,106,95,93,73,61,87,43,59,58,46,21,19,16,14,16,1,,,,,,,,,216,122,3
thenymphsofdelphi,237,193,153,93,73,98,75,114,53,89,47,44,43,22,27,10,5,5,2,,1,,,,,,349,187,81
dlalswp25,2,2,10,6,6,9,14,11,11,7,9,9,10,2,5,3,5,,1,1,,2,,,,,10,8,1
fallleaves01,20,15,25,18,15,19,17,22,20,29,11,24,24,21,31,19,19,13,12,7,2,1,6,,,,48,21,154
arvindf232,17,8,13,15,11,15,16,13,27,18,17,21,43,26,14,7,8,3,,4,2,1,2,2,,,44,15,2
physics0523,35,36,53,55,47,60,62,50,51,44,38,37,39,21,15,15,11,5,1,1,1,,1,,,,103,42,
risujiroh,33,12,30,30,21,32,38,42,34,42,30,30,29,23,41,23,7,2,,,,,,,,,41,19,19
frodakcin,6,3,10,10,3,8,19,17,19,27,20,28,29,16,46,33,33,36,21,21,16,20,17,12,12,11,11,3,2
