*special,0user_handle,2-sat,binary search,bitmasks,brute force,chinese remainder theorem,combinatorics,constructive algorithms,data structures,dfs and similar,divide and conquer,dp,dsu,expression parsing,fft,flows,games,geometry,graph matchings,graphs,greedy,hashing,implementation,interactive,math,matrices,meet-in-the-middle,number theory,probabilities,schedules,shortest paths,sortings,string suffix structures,strings,ternary search,trees,two pointers
7,BurnedChicken,1,85,48,150,1,52,194,113,60,16,142,28,,9,3,23,26,5,80,318,18,270,30,326,8,5,76,19,,18,112,4,67,12,54,55
,ttklwxx,2,65,41,125,1,37,168,86,39,12,119,24,,2,3,16,14,3,44,270,9,164,13,275,4,2,68,7,2,12,80,3,45,6,26,41
10,Pointy,7,104,82,155,3,65,246,208,83,40,193,44,,6,4,28,20,11,100,353,20,186,29,295,6,2,90,15,2,23,108,9,58,5,89,71
6,Ormlis,2,75,32,102,1,45,168,119,66,12,117,20,,1,2,13,22,4,75,256,11,172,16,227,3,5,53,6,,16,100,3,45,9,40,55
2,peti1234,1,86,25,127,2,38,165,103,87,12,120,24,,3,7,17,26,6,99,239,7,215,32,248,2,2,61,15,,21,103,,54,11,44,41
3,cxm1024,3,100,55,166,,52,167,194,106,22,202,50,,1,19,19,15,9,106,311,24,263,7,258,5,4,65,25,,20,93,6,72,5,77,54
1,jiangly,,29,8,50,,27,33,51,29,18,58,11,3,6,4,7,13,2,28,90,10,126,5,108,2,,18,10,,10,56,5,32,2,28,20
1,hitonanode,,13,6,15,,10,22,16,6,5,20,3,,1,,1,5,,6,30,2,12,3,25,1,,6,7,,1,15,,6,2,6,9
,orzdevinwang,,94,79,106,8,82,136,190,98,51,227,42,2,44,43,26,23,12,121,226,23,118,17,226,23,2,72,40,,27,68,30,51,3,103,57
1,turmax,,17,13,39,2,10,48,24,17,4,31,9,,,1,5,7,1,22,79,4,66,4,81,1,1,19,2,,5,33,2,20,1,9,10
2,Geothermal,,23,16,55,,12,45,26,26,9,46,4,2,,,5,6,2,24,87,4,116,4,80,2,,24,7,,6,31,,26,,17,12
1,Kevin114514,2,80,27,135,,28,108,77,50,6,132,13,,1,2,9,7,2,45,207,6,216,9,203,,2,64,2,1,16,71,2,62,7,31,45
23,LeoPro,2,52,25,119,1,23,147,79,52,11,80,21,,1,4,12,10,,61,192,11,202,7,226,2,,49,3,,10,77,1,33,6,18,34
,tute7627,3,104,39,130,1,57,136,130,74,16,158,28,1,3,6,11,20,3,75,322,16,263,10,280,1,3,69,11,,20,102,3,79,10,57,55
10,antontrygubO_o,1,44,19,71,1,21,92,39,36,6,75,12,1,3,4,7,18,1,32,118,13,152,14,131,5,1,39,7,,7,40,2,39,4,28,21
9,alireza_kaviani,2,169,72,382,1,87,270,260,149,31,303,60,3,2,6,25,51,7,157,534,27,898,19,547,17,4,147,23,2,44,271,7,186,8,110,82
13,Flamire,,100,56,170,3,48,165,170,75,34,188,28,,7,5,18,25,4,81,327,31,211,16,337,9,4,85,16,1,18,108,13,89,11,63,62
16,Pyqe,3,144,61,218,1,76,188,211,130,26,274,46,1,2,6,15,30,6,128,432,25,460,17,395,12,6,104,20,1,43,163,8,121,9,101,67
1,Lynkcat,,13,8,20,,8,25,20,14,5,24,5,,2,4,4,1,2,14,37,2,25,2,29,1,,3,4,,6,13,,5,2,11,6
,noimi,,33,15,35,,20,57,36,20,8,45,7,,2,2,3,9,1,24,91,3,95,11,85,2,1,22,6,,6,42,,27,4,15,22
8,nocriz,,40,19,48,1,20,54,53,26,11,67,10,2,2,6,7,13,4,32,92,8,117,10,114,6,2,45,9,,8,40,1,34,,40,18
18,Tlatoani,,24,13,28,,12,22,29,9,4,43,2,1,,,2,5,,10,51,1,59,6,59,3,1,13,6,,4,22,1,15,,9,15
5,Adam_GS,,99,66,213,1,40,189,127,74,22,166,33,2,1,4,15,19,7,84,331,10,389,26,375,5,4,91,9,2,24,104,2,99,5,49,51
