user_handle,problem_id,timestamp,problem_rating,problem_tags
BurnedChicken,1129:C,1602227743,2400,"['binary search', 'data structures', 'dp', 'hashing', 'sortings', 'string suffix structures', 'strings']"
BurnedChicken,1129:E,1601947440,3100,"['binary search', 'interactive', 'trees']"
BurnedChicken,1422:E,1601891388,2700,"['dp', 'greedy', 'implementation', 'strings']"
BurnedChicken,1408:G,1601610167,2700,"['combinatorics', 'dp', 'dsu', 'fft', 'graphs', 'trees']"
BurnedChicken,1408:B,1601488969,1400,"['constructive algorithms', 'greedy', 'math']"
BurnedChicken,1268:C,1601472244,2300,"['binary search', 'data structures']"
BurnedChicken,1286:D,1601452118,3100,"['data structures', 'math', 'matrices', 'probabilities']"
BurnedChicken,1417:A,1601272229,800,"['greedy', 'math']"
BurnedChicken,1417:B,1601271792,1100,"['greedy', 'math', 'sortings']"
BurnedChicken,1416:D,1601270639,2600,"['data structures', 'dsu', 'graphs', 'implementation', 'trees']"
BurnedChicken,1292:D,1601186096,2700,"['dp', 'graphs', 'greedy', 'math', 'number theory', 'trees']"
BurnedChicken,1299:C,1601112259,2100,"['data structures', 'geometry', 'greedy']"
BurnedChicken,1091:E,1601039917,2400,"['binary search', 'data structures', 'graphs', 'greedy', 'implementation', 'math', 'sortings']"
BurnedChicken,1169:B,1600954759,1500,"['graphs', 'implementation']"
BurnedChicken,1159:A,1600954277,800,"['implementation', 'math']"
BurnedChicken,1159:B,1600954025,1300,"['implementation', 'math']"
BurnedChicken,1149:E,1600749464,3200,"['games', 'graphs']"
BurnedChicken,1149:C,1600567107,2700,"['data structures', 'implementation', 'trees']"
BurnedChicken,1174:E,1600092927,2500,"['combinatorics', 'dp', 'math', 'number theory']"
BurnedChicken,1180:A,1600086035,800,"['dp', 'implementation', 'math']"
BurnedChicken,1180:B,1600085800,1500,"['greedy', 'implementation']"
BurnedChicken,1179:D,1600072042,2700,"['data structures', 'dp', 'trees']"
BurnedChicken,1179:C,1599993337,2200,"['binary search', 'data structures', 'graph matchings', 'greedy', 'implementation', 'math', 'trees']"
BurnedChicken,1189:C,1599972991,1400,"['data structures', 'dp', 'implementation', 'math']"
BurnedChicken,1188:C,1599970570,2500,['dp']
BurnedChicken,1188:A2,1599919539,2500,"['constructive algorithms', 'dfs and similar', 'implementation', 'trees']"
BurnedChicken,1137:B,1599909918,1600,"['greedy', 'hashing', 'strings']"
BurnedChicken,1198:E,1599898022,2500,"['flows', 'graph matchings', 'graphs']"
BurnedChicken,1407:C,1599642530,1600,"['constructive algorithms', 'interactive', 'math', 'two pointers']"
BurnedChicken,1407:A,1599641864,1100,"['constructive algorithms', 'math']"
BurnedChicken,1405:A,1599452768,800,['constructive algorithms']
BurnedChicken,1405:B,1599452697,1000,"['constructive algorithms', 'implementation']"
BurnedChicken,1404:D,1599413067,2800,"['constructive algorithms', 'dfs and similar', 'interactive', 'math', 'number theory']"
BurnedChicken,1034:C,1599275022,2700,"['combinatorics', 'dp', 'number theory', 'trees']"
BurnedChicken,959:F,1599202254,2400,"['bitmasks', 'dp', 'math', 'matrices']"
BurnedChicken,1023:E,1599194701,2100,"['constructive algorithms', 'interactive', 'matrices']"
BurnedChicken,1025:A,1599138256,900,"['implementation', 'sortings']"
BurnedChicken,1025:B,1599137508,1600,"['brute force', 'greedy', 'number theory']"
BurnedChicken,1025:C,1599136941,1600,"['constructive algorithms', 'implementation']"
BurnedChicken,1025:F,1599135862,2700,['geometry']
BurnedChicken,1025:E,1599134152,2700,"['constructive algorithms', 'implementation', 'matrices']"
BurnedChicken,1025:D,1599105453,2100,"['brute force', 'dp', 'math', 'number theory', 'trees']"
BurnedChicken,1037:A,1599056108,1300,"['constructive algorithms', 'greedy', 'math']"
BurnedChicken,1037:B,1599055684,1300,['greedy']
BurnedChicken,1037:C,1599055429,1300,"['dp', 'greedy', 'strings']"
BurnedChicken,1037:D,1599052163,1700,"['dfs and similar', 'graphs', 'shortest paths', 'trees']"
BurnedChicken,1028:F,1598965458,2900,['brute force']
BurnedChicken,1028:G,1598944176,3000,"['dp', 'interactive']"
BurnedChicken,1028:A,1598882305,800,['implementation']
BurnedChicken,1028:B,1598881983,1200,"['constructive algorithms', 'math']"
BurnedChicken,1028:C,1598881771,1600,"['geometry', 'implementation', 'sortings']"
BurnedChicken,1028:D,1598876116,2100,"['combinatorics', 'data structures', 'greedy']"
BurnedChicken,1028:E,1598867347,2400,['constructive algorithms']
BurnedChicken,1037:E,1598864988,2200,['graphs']
BurnedChicken,1037:F,1598853681,2500,"['combinatorics', 'data structures', 'math']"
BurnedChicken,1017:F,1598836433,2500,"['brute force', 'math']"
BurnedChicken,1043:F,1598766727,2500,"['bitmasks', 'combinatorics', 'dp', 'math', 'number theory', 'shortest paths']"
BurnedChicken,1158:D,1598625464,2600,"['constructive algorithms', 'geometry', 'greedy', 'math']"
BurnedChicken,1307:E,1598365993,2500,"['binary search', 'combinatorics', 'dp', 'greedy', 'implementation', 'math']"
BurnedChicken,1401:F,1598062783,2400,"['binary search', 'bitmasks', 'data structures']"
BurnedChicken,632:E,1597823011,2400,"['divide and conquer', 'dp', 'fft', 'math']"
BurnedChicken,1398:G,1597820739,2600,"['bitmasks', 'fft', 'math', 'number theory']"
BurnedChicken,1386:A,1597648199,2700,"['*special', 'binary search', 'constructive algorithms', 'interactive']"
BurnedChicken,1395:A,1597296419,1000,"['brute force', 'math']"
BurnedChicken,1395:B,1597296112,1100,['constructive algorithms']
BurnedChicken,1395:C,1597293108,1600,"['bitmasks', 'brute force', 'dp', 'greedy']"
BurnedChicken,1394:C,1597289517,2600,"['binary search', 'geometry', 'ternary search']"
BurnedChicken,1137:A,1597238608,1600,"['implementation', 'sortings']"
BurnedChicken,1142:C,1597233737,2400,['geometry']
BurnedChicken,1142:B,1597219848,2000,"['data structures', 'dfs and similar', 'dp', 'math', 'trees']"
BurnedChicken,1142:A,1597210267,1700,"['brute force', 'math']"
BurnedChicken,909:F,1596694953,2500,['constructive algorithms']
BurnedChicken,1380:E,1596332499,2300,"['data structures', 'dsu', 'implementation', 'trees']"
BurnedChicken,1380:F,1596326966,2600,"['data structures', 'dp', 'matrices']"
BurnedChicken,1379:E,1596114772,2800,"['constructive algorithms', 'divide and conquer', 'dp', 'math', 'trees']"
BurnedChicken,1380:G,1595926368,2600,"['greedy', 'math', 'probabilities']"
BurnedChicken,1385:A,1595924153,800,['math']
BurnedChicken,1385:B,1595923679,800,['greedy']
BurnedChicken,1385:C,1595923490,1200,['greedy']
BurnedChicken,1385:D,1595923140,1500,"['bitmasks', 'brute force', 'divide and conquer', 'dp', 'implementation']"
BurnedChicken,1385:E,1595922472,2000,"['constructive algorithms', 'dfs and similar', 'graphs']"
BurnedChicken,1385:F,1595920708,2300,"['data structures', 'greedy', 'implementation', 'trees']"
BurnedChicken,1383:D,1595893771,2800,"['brute force', 'constructive algorithms', 'graphs', 'greedy', 'sortings']"
BurnedChicken,1385:G,1595854133,2300,"['2-sat', 'dfs and similar', 'dsu', 'graphs', 'implementation']"
BurnedChicken,1383:E,1595838194,2800,"['combinatorics', 'data structures', 'dp']"
BurnedChicken,1384:A,1595806519,1200,"['constructive algorithms', 'greedy', 'strings']"
BurnedChicken,1384:B1,1595771830,1900,"['brute force', 'dp', 'greedy']"
BurnedChicken,1384:B2,1595771816,2200,"['constructive algorithms', 'dp', 'greedy', 'implementation']"
BurnedChicken,1383:A,1595640211,1700,"['dsu', 'graphs', 'greedy', 'sortings', 'strings', 'trees', 'two pointers']"
BurnedChicken,1383:B,1595639075,1900,"['bitmasks', 'constructive algorithms', 'dp', 'games', 'greedy', 'math']"
BurnedChicken,1382:B,1595388498,1100,"['dp', 'games']"
BurnedChicken,1382:A,1595388236,800,['brute force']
BurnedChicken,1372:D,1595122357,2100,"['brute force', 'dp', 'games', 'greedy']"
BurnedChicken,1372:F,1595058217,2700,"['binary search', 'divide and conquer', 'interactive']"
BurnedChicken,1369:A,1594772395,800,"['geometry', 'math']"
BurnedChicken,1369:B,1594772293,1200,"['greedy', 'implementation', 'strings']"
BurnedChicken,1369:C,1594771870,1400,"['greedy', 'math', 'sortings', 'two pointers']"
BurnedChicken,1369:D,1594769309,1900,"['dp', 'graphs', 'greedy', 'math', 'trees']"
BurnedChicken,1369:E,1594735448,2400,"['data structures', 'dfs and similar', 'greedy', 'implementation', 'sortings']"
BurnedChicken,1369:F,1594721992,2700,"['dfs and similar', 'dp', 'games']"
BurnedChicken,1325:E,1594691743,2600,"['brute force', 'dfs and similar', 'graphs', 'number theory', 'shortest paths']"
BurnedChicken,1325:F,1594638602,2500,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy']"
BurnedChicken,1149:B,1594440754,2200,"['dp', 'implementation', 'strings']"
BurnedChicken,1162:B,1594435230,1400,"['brute force', 'greedy']"
BurnedChicken,1162:A,1594432277,800,['implementation']
BurnedChicken,1161:E,1594430985,3000,['interactive']
BurnedChicken,1161:D,1594369416,2400,"['graphs', 'implementation']"
BurnedChicken,1137:D,1594212050,2400,"['constructive algorithms', 'interactive', 'number theory']"
BurnedChicken,1198:F,1594117794,2900,"['greedy', 'number theory', 'probabilities']"
BurnedChicken,1375:G,1593959700,2800,"['brute force', 'constructive algorithms', 'dfs and similar', 'graph matchings', 'graphs', 'trees']"
BurnedChicken,1375:F,1593924704,2600,"['constructive algorithms', 'games', 'interactive', 'math']"
BurnedChicken,102638:B,1593921422,,[]
BurnedChicken,102638:A,1593919175,,[]
BurnedChicken,1371:A,1593856554,800,['math']
BurnedChicken,1371:B,1593856453,1200,['math']
BurnedChicken,1371:C,1593856004,1300,"['greedy', 'implementation', 'math']"
BurnedChicken,1371:D,1593855711,1600,"['constructive algorithms', 'greedy', 'implementation']"
BurnedChicken,1371:E1,1593854949,1900,"['binary search', 'brute force', 'combinatorics', 'math', 'number theory', 'sortings']"
BurnedChicken,1371:E2,1593854918,2300,"['binary search', 'combinatorics', 'dp', 'math', 'number theory', 'sortings']"
BurnedChicken,785:D,1593834680,2300,"['combinatorics', 'dp', 'math', 'number theory']"
BurnedChicken,1215:E,1593831100,2200,"['bitmasks', 'dp']"
BurnedChicken,1253:E,1593765985,2200,"['data structures', 'dp', 'greedy', 'sortings']"
BurnedChicken,1198:C,1593665642,2000,"['constructive algorithms', 'graphs', 'greedy', 'sortings']"
BurnedChicken,1198:D,1593663565,2300,['dp']
BurnedChicken,1092:D1,1593336054,2200,"['greedy', 'implementation', 'math']"
BurnedChicken,1178:F1,1593329178,2200,"['combinatorics', 'dfs and similar', 'dp']"
BurnedChicken,617:E,1593310410,2200,['data structures']
BurnedChicken,1328:F,1593098408,2200,['greedy']
BurnedChicken,1355:A,1593055556,1200,"['brute force', 'implementation', 'math']"
