0user_handle,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,800,900,undefined
BurnedChicken,45,23,34,37,40,41,37,51,35,40,35,19,17,15,13,7,2,4,3,4,2,,,,,,109,31,5
orzdevinwang,16,13,16,10,13,32,28,20,20,36,30,32,28,47,51,46,49,54,22,47,32,15,11,10,5,7,32,9,1
Ormlis,27,21,20,25,22,35,27,38,36,29,33,34,29,16,21,8,9,3,1,3,,1,,1,,,46,17,75
peti1234,34,24,21,28,25,36,33,26,22,28,18,18,18,6,9,4,3,2,1,,,,,,,,34,21,1
cxm1024,28,31,34,37,28,38,35,41,43,44,40,29,41,45,28,29,9,9,3,,2,,,,,,95,27,64
Kevin114514,29,20,27,19,30,31,30,25,31,16,30,17,19,8,8,6,4,3,,1,,,,,,,107,24,30
alireza_kaviani,181,152,150,128,94,99,90,84,62,89,62,59,43,30,30,6,5,1,1,1,,,,,,,268,147,23
Flamire,41,29,41,43,52,45,53,44,44,48,38,25,34,24,21,17,20,10,4,,1,1,,,,,73,40,19
Adam_GS,38,28,31,32,24,39,19,35,22,16,33,23,26,16,7,3,2,4,1,,,,,,,,339,42,22
le0n,14,12,14,17,10,14,20,11,16,25,13,7,10,21,23,7,4,5,6,,4,1,3,1,,1,52,16,
maspy,17,18,35,32,21,35,22,33,27,31,26,34,23,10,5,2,,3,,1,,,,,,,72,23,8
Alex_Wei,124,100,95,91,84,56,47,67,34,48,32,24,10,9,4,2,3,1,,,,,,,,,204,117,3
fallleaves01,14,14,23,13,13,18,13,19,14,25,7,21,14,16,24,15,12,11,6,5,1,1,4,,,,37,14,70
Crystally,28,18,16,24,32,36,25,41,43,46,37,50,42,61,78,74,64,75,54,64,64,60,57,46,37,59,41,20,17
Savior-of-Cross,24,6,19,23,24,31,33,39,29,33,32,38,16,28,26,13,8,5,1,,,1,2,,,,22,14,14
Rubikun,31,11,19,24,20,29,24,24,24,31,21,24,18,13,20,3,1,1,,,,,,,,,24,17,
KaguyaH,22,15,18,9,18,20,36,22,11,26,22,25,35,24,32,31,17,16,19,7,24,22,10,9,27,11,27,18,17
Fido_Puppy,34,30,27,28,37,51,32,49,47,101,93,93,106,132,143,140,102,80,73,55,52,42,37,16,15,10,71,22,7
bashkort,28,38,29,31,23,24,30,35,22,23,17,14,32,21,27,10,4,10,9,7,,,6,,6,,116,27,21
honglan0301,7,3,,10,13,10,11,5,15,25,37,50,34,31,23,37,20,13,10,14,8,22,4,3,,9,17,8,1
alexxela12345,15,9,18,18,18,16,17,11,10,13,11,7,3,3,1,1,1,,,,,,,,,,27,11,123
Keshi,65,36,48,51,64,83,78,80,48,70,57,57,58,37,34,29,31,14,9,4,3,3,,,,4,149,50,79
E_fireworks,11,7,10,6,10,8,10,14,13,13,20,14,10,11,16,7,9,2,5,6,,3,,,1,,47,9,
S2speed,42,36,39,43,45,52,41,47,41,41,40,38,40,37,19,23,14,16,7,1,2,1,,4,,,142,47,7
LuCpp,15,19,17,17,20,22,25,29,29,29,25,18,23,17,11,10,14,6,5,2,2,,3,,2,1,58,13,5
pp_orange,30,29,29,34,38,29,39,31,41,37,36,46,47,32,35,25,18,6,9,1,,,,,,,134,30,30
hyman00,42,33,42,45,40,53,57,54,58,47,65,47,83,42,55,28,33,10,8,4,3,4,2,,1,,128,30,98
wdnmdwrnmmp,9,13,11,12,10,12,8,22,10,23,19,19,23,23,31,27,20,13,18,7,8,5,1,,1,,46,11,1
abc864197532,98,60,98,102,99,115,111,112,110,107,107,114,79,61,67,27,28,20,10,3,,1,1,,,,198,83,32
275307894a,28,23,30,33,28,42,25,47,27,54,45,38,52,39,46,32,29,24,19,15,9,11,15,7,7,,82,40,6
ymmparsa,31,23,33,34,47,42,34,42,40,47,37,36,30,26,19,12,12,3,3,,1,2,,,,,69,22,47
0wuming0,48,35,49,31,30,52,50,42,42,47,37,31,37,30,16,15,10,7,4,1,3,1,1,,,,100,38,80
PurpleCrayon,49,37,49,43,47,67,56,62,55,59,55,54,44,37,39,123,31,16,10,13,3,3,3,2,,10,148,42,62
LXH-cat,40,40,43,42,36,32,64,71,52,63,67,49,64,58,58,49,33,18,26,13,9,5,6,3,,1,165,41,26
sansen,41,16,40,42,19,29,35,46,37,39,27,31,39,25,22,10,7,,,1,,,,,,,44,24,
cmk666,24,26,24,34,21,41,29,28,29,29,23,27,27,37,56,58,45,84,14,21,18,18,8,13,3,12,116,34,33
qiuzx,23,16,27,35,30,29,54,29,55,33,44,45,65,28,68,46,30,34,15,3,9,3,7,6,5,2,60,17,50
kostia244,57,40,61,66,67,84,85,112,111,119,105,93,86,52,70,43,20,25,8,8,4,3,,,1,3,87,42,33
zhaohaikun,34,29,43,31,39,48,51,46,59,42,34,26,45,41,42,32,15,9,13,13,7,2,5,1,,2,150,31,2
siganai,13,23,19,20,14,17,21,21,11,28,35,9,14,14,13,15,10,2,2,,,,,,,,92,13,66
Scintilla06,13,15,13,19,20,27,19,31,29,19,23,15,18,15,18,9,17,14,13,4,13,9,6,3,5,3,46,18,7
xukai,4,4,4,6,4,4,6,6,8,11,16,3,10,21,37,11,31,23,19,19,5,8,7,,2,,18,2,11
maximumSHOT,67,80,80,82,73,111,125,105,81,108,94,100,84,66,81,58,31,22,13,11,9,7,5,,3,,104,55,726
vgtcross,23,19,15,19,20,24,26,21,18,20,18,18,17,5,5,3,1,,,1,,2,,,,,81,15,16
xianboyu,7,4,2,5,7,13,8,6,14,21,27,18,23,25,32,30,25,12,11,14,16,7,3,2,2,3,23,6,23
xzc0920,18,23,21,20,24,13,21,32,30,41,39,34,34,43,66,56,38,26,27,16,17,11,10,6,1,5,96,17,18
Dominater069,35,33,37,35,33,57,54,56,88,57,39,33,48,48,33,10,11,5,1,1,2,,,,,1,144,26,9
InternetPerson10,20,16,17,14,11,13,23,25,24,16,9,2,13,10,6,5,5,1,2,,,,,,,,77,11,21
Soumya1,73,63,77,77,89,74,78,78,78,82,83,82,76,62,66,62,15,5,2,,1,,,,,,287,81,22
zjy2008,6,2,5,6,4,8,8,12,7,10,14,12,19,18,35,31,34,23,22,28,28,19,12,27,6,16,14,4,14
kshitij_sodani,19,12,18,21,22,31,24,29,22,28,11,14,9,9,12,7,3,2,2,,,,2,,,,30,18,3
gabrielwu,9,6,10,5,13,17,3,9,10,10,4,4,1,5,1,1,2,1,,,,,,,,,17,10,9
5ab,23,19,25,17,26,26,23,31,19,33,30,25,36,27,33,11,10,13,7,4,12,3,3,2,,,79,20,3
jiangbowen_,8,11,13,13,12,22,10,24,24,27,22,11,21,20,12,17,10,10,6,3,7,3,2,1,,,26,9,3
RobeZH,36,27,53,57,42,54,71,72,79,95,109,156,175,118,147,82,24,19,10,11,4,,2,,,,51,28,27
Yam,102,80,65,72,63,97,87,117,106,111,79,59,44,39,36,22,10,2,,,,,,,,,319,100,8
CJ_xde_lt,4,2,,3,,1,3,7,7,10,10,10,20,14,29,20,22,10,3,,2,2,2,,,2,7,4,
kevinyang,37,30,43,30,34,43,31,32,22,27,23,15,45,38,9,3,,1,1,,,,,,,,111,32,79
jason_sun,8,13,11,14,10,9,10,14,17,26,47,18,22,30,46,30,21,18,11,8,5,,2,2,,,41,11,
cxaphoenix,49,47,49,49,44,50,73,48,44,45,27,39,37,41,29,19,12,10,10,9,4,3,,2,1,,57,31,370
Davoth,32,20,27,34,31,15,24,16,26,19,23,12,22,23,42,31,27,31,21,10,16,12,5,5,2,5,130,30,132
Dorost,150,108,121,100,96,103,120,88,43,53,30,21,14,7,11,10,6,3,3,1,1,,,,,,480,142,108
Imdie,39,38,41,52,36,38,37,36,33,42,38,28,34,31,50,16,13,6,3,,3,1,,1,,,126,37,24
yeminghan,26,37,24,34,24,25,20,25,24,19,15,16,10,4,8,3,3,1,,,,,1,,1,,118,28,22
Zhouershan,16,15,14,22,14,21,16,26,40,26,53,50,60,79,110,200,85,102,37,42,32,32,24,16,9,18,39,17,31
LipArcanjo,48,51,63,52,49,59,54,63,47,46,32,28,25,24,30,12,13,9,6,3,1,,,,,,171,51,161
hxhhxh,22,13,24,25,26,30,31,39,43,37,37,23,36,16,16,10,9,5,10,2,,,9,1,,2,59,17,10
propane,25,35,29,30,39,38,50,74,71,121,115,134,172,157,325,269,191,30,30,10,8,6,,,,,128,29,156
ParsaDox,52,56,57,55,67,57,69,58,53,77,72,50,51,56,57,37,13,21,17,1,9,1,1,1,,,189,44,76
