user_handle,problem_id,timestamp,problem_rating,problem_tags
BurnedChicken,1361:E,1592480941,3000,"['dfs and similar', 'graphs', 'probabilities', 'trees']"
BurnedChicken,1365:C,1592452227,1400,"['constructive algorithms', 'data structures', 'greedy', 'implementation']"
BurnedChicken,1365:B,1592451176,1300,"['constructive algorithms', 'implementation']"
BurnedChicken,1365:A,1592450574,1100,"['games', 'greedy', 'implementation']"
BurnedChicken,1365:G,1592447634,2800,"['bitmasks', 'combinatorics', 'constructive algorithms', 'interactive', 'math']"
BurnedChicken,1120:A,1592270472,1900,"['greedy', 'implementation', 'two pointers']"
BurnedChicken,1364:E,1592225425,2700,"['bitmasks', 'constructive algorithms', 'divide and conquer', 'interactive', 'probabilities']"
BurnedChicken,1364:D,1592111294,2100,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy', 'implementation', 'trees']"
BurnedChicken,1364:C,1592109656,1600,"['brute force', 'constructive algorithms', 'greedy']"
BurnedChicken,1364:B,1592108603,1300,"['greedy', 'two pointers']"
BurnedChicken,1364:A,1592108244,1200,"['brute force', 'data structures', 'number theory', 'two pointers']"
BurnedChicken,364:D,1592058026,2900,"['brute force', 'math', 'probabilities']"
BurnedChicken,1186:D,1591679420,1500,"['constructive algorithms', 'greedy', 'math']"
BurnedChicken,1186:C,1591678811,1800,"['implementation', 'math']"
BurnedChicken,1322:C,1591404973,2300,"['graphs', 'hashing', 'math', 'number theory']"
BurnedChicken,1362:C,1591343049,1400,"['bitmasks', 'greedy', 'math']"
BurnedChicken,1362:B,1591342623,1200,"['bitmasks', 'brute force']"
BurnedChicken,1362:A,1591318252,1000,['implementation']
BurnedChicken,1086:B,1591277282,1700,"['greedy', 'implementation', 'trees']"
BurnedChicken,1086:A,1591276543,1600,"['greedy', 'implementation']"
BurnedChicken,1320:D,1591074588,2500,"['data structures', 'hashing', 'strings']"
BurnedChicken,1305:F,1591056630,2500,"['math', 'number theory', 'probabilities']"
BurnedChicken,1363:D,1590999616,2100,"['binary search', 'implementation', 'interactive', 'math']"
BurnedChicken,1363:E,1590997464,2000,"['dfs and similar', 'dp', 'greedy', 'trees']"
BurnedChicken,1363:C,1590987454,1600,"['games', 'trees']"
BurnedChicken,1363:B,1590987050,1400,"['implementation', 'strings']"
BurnedChicken,1363:A,1590986599,1200,"['brute force', 'implementation', 'math']"
BurnedChicken,1359:F,1590888967,2900,"['binary search', 'brute force', 'data structures', 'geometry', 'math']"
BurnedChicken,1359:C,1590823130,1700,"['binary search', 'math']"
BurnedChicken,1359:B,1590820680,1000,"['brute force', 'dp', 'greedy', 'implementation', 'two pointers']"
BurnedChicken,1359:E,1590819447,2000,"['combinatorics', 'math', 'number theory']"
BurnedChicken,1359:D,1590818836,2000,"['data structures', 'dp', 'implementation', 'two pointers']"
BurnedChicken,1:A,1590814597,1000,['math']
BurnedChicken,1359:A,1590812439,1000,"['brute force', 'greedy', 'math']"
BurnedChicken,1088:E,1590809406,2400,"['dp', 'greedy', 'math', 'trees']"
BurnedChicken,959:E,1590755630,1900,"['bitmasks', 'dp', 'graphs', 'implementation', 'math']"
BurnedChicken,959:D,1590754998,1900,"['constructive algorithms', 'greedy', 'math', 'number theory']"
BurnedChicken,959:C,1590728686,1500,"['constructive algorithms', 'trees']"
BurnedChicken,959:B,1590728053,1200,"['dsu', 'greedy', 'implementation']"
BurnedChicken,1290:C,1590712636,2400,"['dfs and similar', 'dsu', 'graphs']"
