0user_handle,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,800,900,undefined
BurnedChicken,37,17,22,31,28,28,21,39,22,25,23,8,4,6,5,1,,1,1,,,,,,,,97,22,5
Pointy,3,6,13,3,10,19,9,12,7,14,11,4,8,1,1,,,,1,,,,,,,,30,6,
jiangly,8,12,15,14,8,12,13,5,9,21,20,9,12,17,2,1,8,3,1,,1,1,,,,,63,10,5
orzdevinwang,7,10,11,4,5,15,11,7,6,17,10,9,9,10,15,8,4,2,5,2,3,1,1,,,,15,6,
cxm1024,8,12,19,21,17,13,7,21,18,11,8,4,2,6,2,,1,,,,,,,,,,49,11,1
tute7627,13,7,12,15,11,16,11,11,11,12,8,9,10,4,1,1,,,,,,,,,,,15,10,
Pyqe,44,18,20,17,15,28,27,43,29,25,22,19,24,16,7,5,1,,,,,,,,,,121,36,
Alex_Wei,85,64,53,54,45,18,31,39,14,18,15,2,4,,,,,,,,,,,,,,164,83,3
Ormlis,15,7,6,9,13,15,14,9,17,10,12,12,5,6,3,,,1,1,,,,,,,,21,8,46
alireza_kaviani,166,146,133,113,77,74,63,55,31,43,26,15,6,1,,,,,,,,,,,,,253,134,3
turmax,8,3,18,9,7,10,8,13,8,6,4,5,1,4,2,1,,,,,,,,,,,19,7,9
Adam_GS,29,16,15,20,14,25,11,22,8,8,23,17,14,8,1,1,,1,,,,,,,,,301,30,14
A_G,4,5,8,7,3,4,6,12,8,6,7,2,12,6,3,6,5,5,4,,,,,,2,,17,4,1
Rubikun,6,2,2,,4,2,2,2,1,1,1,4,,,,,,,,,,,,,,,5,3,
Savior-of-Cross,6,2,6,4,8,6,14,4,3,12,10,3,4,2,1,1,1,1,,,,,,,,,8,5,
KaguyaH,21,14,17,8,17,18,35,22,11,23,21,23,29,24,31,27,15,15,17,7,23,19,7,9,21,4,25,17,6
StarSilk,5,11,9,6,10,10,11,9,10,16,10,5,9,2,6,2,,3,1,,,,,,,,33,8,3
SHZhang,6,7,6,9,10,13,7,12,8,8,13,12,9,7,5,2,2,1,,1,,,2,,,,8,4,
bashkort,25,26,24,26,16,18,25,26,17,18,10,9,21,15,17,4,,4,4,,,,,,,,88,25,9
Fido_Puppy,32,26,19,26,31,40,31,41,34,77,77,68,56,74,72,70,48,34,20,24,7,19,14,10,5,2,58,20,6
tabr,3,3,4,6,3,7,4,8,14,13,11,8,9,8,3,2,1,,,,,,,,,,11,5,
honglan0301,3,1,,7,12,7,10,4,11,11,29,42,28,23,10,14,11,5,7,7,5,21,2,3,,8,14,8,
