*special,0user_handle,2-sat,binary search,bitmasks,brute force,chinese remainder theorem,combinatorics,constructive algorithms,data structures,dfs and similar,divide and conquer,dp,dsu,expression parsing,fft,flows,games,geometry,graph matchings,graphs,greedy,hashing,implementation,interactive,math,matrices,meet-in-the-middle,number theory,probabilities,schedules,shortest paths,sortings,string suffix structures,strings,ternary search,trees,two pointers
3,BurnedChicken,,33,17,81,1,27,80,46,27,5,48,17,,,,5,13,1,32,166,8,156,7,169,1,4,33,9,,10,48,3,41,8,13,19
9,Pointy,2,30,4,41,,8,45,30,5,4,30,,,,,3,4,,12,80,2,53,11,59,1,,18,2,,5,18,,10,2,3,13
,jiangly,,21,7,37,,22,28,38,25,10,44,11,1,1,2,5,13,,22,71,8,99,5,80,1,,13,10,,5,43,5,27,2,21,16
,orzdevinwang,,26,13,33,,5,44,46,19,15,54,13,,4,4,9,3,1,25,71,5,48,5,65,1,,17,7,,5,27,10,21,1,17,19
3,cxm1024,1,21,10,44,,10,53,37,30,2,43,11,,1,,8,3,,23,104,3,83,2,71,1,,13,1,,5,28,,14,2,12,14
,tute7627,,24,9,29,,13,25,28,10,1,25,4,1,,1,5,3,,9,72,2,60,3,70,,,12,,,3,24,1,19,1,10,13
8,Pyqe,1,48,22,93,,25,58,63,34,5,95,13,,1,1,11,9,3,37,150,4,222,1,146,1,2,44,3,,15,68,,42,3,19,27
26,Alex_Wei,,32,11,154,,20,69,24,8,1,49,2,1,,,12,15,1,13,154,2,400,1,205,,,44,2,1,7,68,,59,3,6,20
4,Ormlis,,18,7,26,1,12,37,35,12,3,26,3,,,,1,8,,14,72,4,54,6,67,,1,10,3,,3,21,,16,3,10,8
7,alireza_kaviani,1,74,25,284,,33,163,67,60,5,126,24,2,1,2,15,30,3,57,327,13,741,11,357,5,3,92,8,1,12,160,1,130,2,28,38
1,turmax,,10,8,29,1,5,21,10,11,3,12,5,,,,4,5,,12,39,2,51,1,49,1,,12,,,1,16,2,12,1,5,5
5,Adam_GS,,41,27,125,,14,88,47,32,4,81,10,1,,,9,7,1,35,175,6,260,13,215,1,2,51,7,1,9,45,2,53,,19,22
