0user_handle,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,800,900,undefined
StarSilk,2,2,3,2,4,1,3,2,2,,,,,,1,,,,,,,,,,,,9,2,
Dominater069,,1,,1,,,,,,,,,,,,,,,,,,,,,,,3,,
omsincoconut,2,2,,2,2,2,,4,2,,,,,,,,,,,,,,,,,,11,1,
dannalc,1,2,1,1,,1,1,,,,,,,,,,,,,,,,,,,,4,1,1
Peter-007,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,
sai-17,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,7,1,
rolandpetrean,,,,,,4,3,1,,,,,,,,,,,,,,,,,,,10,,1
OutsiderZz,,,,1,2,1,,1,1,2,,1,,2,2,,,,,,,,,,,,6,,
JueFan,,,,,,,1,3,,1,2,2,1,2,2,1,,5,3,2,5,,,,,,2,1,2
Azm1t,17,6,2,1,1,,,,,,,,,,,,,,,,,,,,,,8,5,
WQhuanm.,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
AliiSh,,2,1,1,,2,,2,1,1,1,,,,,,,,,,,,,,,,5,,23
anton6,2,4,1,1,1,,1,,,2,,,,,,,,,,,,,,,,,9,3,
hanifchdn,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
-_TIMOFEY_-,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,4,1,5
envariant,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,
Pouyaaan,22,7,5,6,6,2,,1,1,,,,,,,,,,,,,,,,,,155,26,12
TJLG-fly,16,8,6,7,4,2,1,,,1,1,,,,,,,,,,,,,,,,113,17,1
shahmah,12,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,150,22,
Jalppatel1428,43,9,1,4,,,,,,,,,,,,,,,,,,,,,,,51,30,
fingerdash,10,11,12,8,,,,,,,,,,,,,,,,,,,,,,,10,10,
naumovRD,2,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,3,1,2
mbakhtiarijavid,9,1,2,1,,2,,,,,,,,,,,,,,,,,,,,,211,11,
zxcen,,1,,1,,,,,,,,,,,,,,,,,,,,,,,4,,
Vania_Javadi,5,1,2,5,1,3,2,2,1,1,,,,,,,,,,,,,,,,,86,1,6
eyadhjarray111,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,4,3,6
ZERO_AKG,4,5,,2,1,2,,,,,,,,,,,,,,,,,,,,,13,,
Maximus11,22,7,,,,,,,,,,,,,,,,,,,,,,,,,15,16,
pera2008,3,,2,,2,,,,,,,,,,,,,,,,,,,,,,64,4,
mohammadsam,2,1,,1,,,3,,,,,,,,,,,,,,,,,,,,17,,
thanhdno,66,25,15,9,,,,,,,,,,,,,,,,,,,,,,,260,32,
kovir_aleksey_korroy,2,2,,1,1,,,,,,,,,,,,,,,,,,,,,,9,1,1
Rising-coder,15,15,6,3,,1,,1,,,,,,,,,,,,,,,,,,,59,15,
hcywoi,7,5,6,2,5,9,8,4,8,12,1,,3,1,2,3,,,,,,,,,,,39,6,
asdfgrace,7,6,6,5,,,,3,,,,,,,,,,,,,,,,,,,1,3,
weirdflexbutok,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,1,
xiaozengX,,1,2,1,1,2,,1,,,2,,,,,,,,,1,,,,,,1,6,2,
RadRah,13,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,4,,
Ferrriccc,1,1,,,,,,,,,,,,,,,,,,,,,,,,,10,1,
OkClinty,9,1,1,2,,,,,,,,,,,,,,,,,,,,,,,50,10,
serifefedartar,30,26,20,,,,,,,,,,,,,,,,,,,,,,,,22,36,
sumairu,1,,,,4,,1,7,,,,,,,,,,,,,,,,,,,2,,
MUZAN,2,,1,,,,,,,,,,,,,,,,,,,,,,,,10,,
chenhongrui,4,4,9,5,15,13,5,8,19,56,42,55,14,29,7,1,1,2,5,,,,,,,,14,7,
alexok2006,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,5,1,4
IceWolf898,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,10,1,
oloy,6,9,5,5,5,4,2,5,6,4,2,1,4,,,2,,,,,,,,,,,25,7,
Marky,5,,,,,,,,,,,,,,,,,,,,,,,,,,38,4,5
wangmarui,28,27,14,16,9,9,12,5,2,3,4,1,8,2,,,,,,,,,,,,,95,25,1
hemanth6,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Edeeva,6,,1,1,,,,,,,,,,,,,,,,,,,,,,,66,10,
baijiaohu_fan,1,,1,,,,,,,,,,,,,,,,,,,,,,,,9,,
unforgettablepl,2,6,2,8,5,10,10,9,5,2,2,1,1,,,,,,,,,,,,,,14,2,5
Reincarnation,,,,,36,5,,,,,,,,,,,,,,,,,,,,,3,1,
MisterReaper,4,3,5,1,3,3,2,1,,,,,,,,,,,,,,,,,,,24,3,
Nanani,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,
kkoushik5656,,2,1,4,1,3,1,1,,,,,,,,,,,,,,,,,,,10,4,1
cp_first,67,17,7,5,2,,,,,,,,,,,,,,,,,,,,,,10,5,
ibrahimwq,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
nzo,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,14,,2
Abraxos,5,1,3,2,,1,1,,,,,,,,,,,,,,,,,,,,10,2,
itzzRaghav,1,,,1,,,,,,,,,,,,,,,,,,,,,,,3,1,
kefolen,8,9,3,9,10,2,2,2,,,,,,,,,,,,,,,,,,,21,4,
aditya_neer,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,8,2,
depokaliens,11,7,7,3,,,1,,,,,,,,,,,,,,,,,,,,72,12,
Bai_xiaobo,2,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,22,4,
lekkoo,,,,5,,1,1,,1,,,,,,,,,,,,,,,,,,5,1,
wanwan.,3,1,,,,,,,,,,,,,,,,,,,,,,,,,20,1,
the_fool,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Stronger_Than_Kdlyh,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,
FakeDuck,2,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,
quaha,,2,11,3,3,1,9,,,,,,,,,,,,,,,,,,,,3,,11
1RONMAN,23,9,13,5,4,,,,,,,,,,,,,,,,,,,,,,78,16,
RedSnow389,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,9,,
zyadhany,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,
suprend,,1,5,21,4,13,3,3,,,,,,,,,,,,,,,,,,,4,1,
GTA,22,15,8,7,3,3,,5,,,1,,,,,,,,,,,,,,,,281,34,
Xiaobaibubai,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Rohhy,8,1,,2,,,,,,,,,,,,,,,,,,,,,,,74,6,
chaewon,,11,2,1,,,2,2,,,,,2,,,,,,,,,,,,,,4,1,
vinay_panwar,4,7,6,7,,,,,,,,,,,,,,,,,,,,,,,14,1,
Amir1386n,13,3,1,4,3,,,,,,,,,,,,,,,,,,,,,,42,6,
ywc...,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,4,,
ace01,3,1,,,,,,,,,,,,,,,,,,,,,,,,,23,1,
brusgry,5,4,4,3,1,2,2,6,4,17,4,3,,,,,,,,,,,,,,,15,4,6
Luzhuoyuan,,1,,1,5,5,3,24,4,13,11,13,17,14,18,3,1,1,,1,,,,,,,2,1,1
momen159,4,,3,,,1,,,,,,,,,,,,,,,,,,,,,6,,
synthborne,2,,,,,,,,,,,,1,,,,,,,,,,,,,,10,1,
OMEGAftw,12,2,4,,,,,,,,,,,,,,,,,,,,,,,,22,2,
arya_nazari_,35,18,15,10,2,,3,,,,,,,,,,,,,,,,,,,,117,88,2
the.wiz,37,2,1,1,,,,1,,,,,,,,,,,,,,,,,,,191,49,
sanmai_reddy123,,1,,,,,,,,,,,,,,,,,,,,,,,,,39,3,
ethkc256,4,2,2,1,,,2,,,,,,,,,,,,,,,,,,,,40,5,
Wxssim,,,,1,,,,,,,,,,,,,,,,,,,,,,,253,,7
LEFt_bank,1,1,2,,,3,1,,,,,,,,,,,,,,,,,,,,8,3,
vijay_panwar12,5,4,12,6,,,,,,,,,,,,,,,,,,,,,,,10,1,
daoqi,3,4,1,2,,1,,,,,,,,,,,,,,,,,,,,,20,3,
kinoki777,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,
Jasonwei08,3,2,3,6,4,4,5,4,,2,1,,1,,,,,,,,,,,,,,24,2,1
kian2009,41,18,15,15,3,4,1,1,,,,,,,,,,,,,,,,,,,247,40,
cemil1234,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,
Zhengliangfei,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
adiyer,,,1,,11,35,2,,,,,,,,,,,,,,,,,,,,2,1,
nathjess,8,2,2,,4,4,2,,1,,,,,,,,,,,,,,,,,,28,4,
roshanVerma,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,
shift.,,,,,1,,,,,,,,,,,,,,,,,,,,,,7,,
Logic_cf,1,5,4,2,2,1,1,,,2,,2,,1,,,,,,,,,,,,,11,2,29
Prady,18,16,16,8,1,,,,,,,,,,,,,,,,,,,,,,40,16,
SkySummer,1,2,,,,1,1,1,,,,,,,,,,,,,,,,,,,3,,
FQR_,7,6,15,22,12,14,4,,4,1,1,,,1,,,,,,,,1,,,,,9,7,
sisanjiujiu,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,
Repeater111,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,5,1,
trinhtung2007,9,1,1,3,1,2,,,,,,,,,,,,,,,,,,,,,54,8,1
Abhi8803,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
hnust_lizhongyu,10,4,1,,,,,,,,,,,,,,,,,,,,,,,,43,5,2
panchangamakhil,1,2,1,,,,,1,,,,,,,,,,,,,,,,,,,7,1,
faris00007,3,5,6,5,10,5,9,5,2,4,2,,,,,,,,,,,,,,,,15,3,1
Linver,2,1,4,3,1,4,,6,1,1,3,,1,,1,,,,3,,,,,,,,10,1,3
fireheart17,46,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
helpmeimprpve,5,2,8,10,5,2,,,,,,,,,,,,,,,,,,,,,16,3,
scyyyyyyyyyy,,4,1,2,6,11,7,6,7,8,,,,,,,,1,,,,,,,,,3,,
lmx111,5,5,2,7,5,7,5,14,2,3,6,1,,2,1,,,,,,,,,,,,27,6,1
_Puzzles,23,5,7,3,,,,,,,,,,,,,,,,,,,,,,,94,14,5
manishjha91,20,23,12,12,2,1,,,,,,,,,,,,,,,,,,,,,50,14,
wjh2011,3,,,1,,7,2,4,9,23,13,16,21,15,15,2,,2,,,1,,1,,1,,10,1,
Momos,,,,,,15,1,1,3,1,,,,,,,,,,,,,,,,,2,,
Sandeep_Nitharwal,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
vanshdhawan60,6,1,,1,,2,,1,,,,,,,,,,,,,,,,,,,5,7,
MMJnini,18,2,3,4,7,3,,,1,,,,,,,,,,,,,,,,,,41,8,
Patta_gobhi_,58,17,,,,,,,,,,,,,,,,,,,,,,,,,105,112,
e_n1cat_,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
flying_saucer,3,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,
lrx___,148,144,107,80,51,25,14,15,11,7,13,1,1,,,,,,,,,,,,,,483,137,17
Nurex_001,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1
Priyansh_16,25,,,,,,,,,,,,,,,,,,,,,,,,,,104,46,
MichyJZ,,1,,1,3,2,2,5,1,,,,,,,,,,,,,,,,,,13,5,
Hirro,2,1,2,1,,3,3,1,,1,1,,,,,,,,,,,,,,,,10,1,5
valavshonok,6,14,1,4,3,1,3,1,,,,,,,,,,,,,,,,,,,39,5,9
Turbo_Fast_Submit,2,10,12,7,4,4,2,,2,,,,,,,,,,,,,,,,,,4,3,
Dynamic_Pigeon,,3,1,1,1,1,6,3,3,4,3,3,,,,,,,,,,,,,,,3,1,
liudaxia1000,1,13,16,10,13,6,4,,,,,,,,,,,,,,,,,,,,5,3,
redcircle,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,4,,
Kairm_Zaf,4,2,,1,,1,,,,,,,,,,,,,,,,,,,,,31,1,
wifi32767,8,4,7,5,,,1,,,1,,,,,,,,,,,,,,,,,4,1,3
MagnusCarlsen321,11,18,5,6,8,3,1,4,,,,,,,,1,,,,,,,,,,,68,5,4
Spider,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
fanhuaxingyu,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Saanteye,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,1
Urtusea,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,
VishnuMaurya,,,1,22,9,2,4,1,1,,,,,,,,,,,,,,,,,,1,1,
chinagty,1,,2,4,,,,,2,1,,,,,,,,,,,,,,,,,3,,
Horka,30,19,19,6,7,3,2,4,,,1,,,,,,,,,,,,,,,,51,23,
Kritang,19,,,,,,,,,,,,,,,,,,,,,,,,,,49,5,
potato_xD,4,4,4,7,,4,1,,,,,,,,,,,,,,,,,,,,5,4,
xingliu,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
aryankesharwani142004,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,1,
trassis,,2,5,2,,,2,2,1,,,,,,,,,,,,,,,,,,6,3,
DXXsama,17,1,,,1,,,,,,,,,,,,,,,,,,,,,,26,1,
GWTM,,1,,,1,1,,,,,,1,,,,,,,,,,,,,,,4,,
drizzle_codes,17,1,,,,,,,,,,,,,,,,,,,,,,,,,65,47,
XoLeRyTeR,,1,,,,,,,,,,,,,,,,,,,,,,,,,8,2,
yusuf12360,3,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,7,1,
sachin_gupta21,1,,1,,,,,,,,,,,,,,,,,,,,,,,,27,1,
hoangnoobpro,23,7,4,4,2,1,,,,,,,,,,,,,,,,,,,,,195,22,4
Niko_Hu,3,1,3,,,3,2,,,,,,,,,,,,,,,,,,,,9,6,
ShreyHehe,7,1,4,1,,1,,,,,,,,,,,,,,,,,,,,,21,1,
ACMcmr,6,4,4,18,4,,3,,,,,,,,,,,,,,,,,,,,11,2,12
meimingzi1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,21,4,
Amao_Fox,15,6,16,4,5,18,2,8,1,4,2,1,,,,2,,,,,,,,,,,17,3,12
jsiso,,,82,1,,1,1,,1,,,,,,,,,,,,,,,,,,15,,
zhuyc,1,2,,,1,1,,1,,,,,,,,,,,,,,,,,,,7,,3
VinnySJ,6,6,2,4,3,,1,,2,2,1,1,,,2,,,,,1,,,,,,,15,3,21
aviralarpan3301,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
happify03,2,2,2,4,3,8,13,7,2,,2,,1,,,,,,,,,,,,,,11,2,
AlexixRugis,,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,3,,4
sjdka,,1,,,,,,1,,,,,,,,,,,,,,,,,,,3,1,
dshrey27,19,,1,,,,,,,,,,,,,,,,,,,,,,,,25,22,
User_Kei,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,8,2,
CharlesLakes,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,
ahmedmo10,14,12,9,7,5,3,,,,,,,,,,,,,,,,,,,,,39,10,
abdalrahem.r.dado,19,14,9,9,2,,,,,,,,,,,,,,,,,,,,,,104,25,
himneesh9,25,31,31,23,8,2,1,4,,,,,,,,,,,,,,,,,,,57,19,
runtime-terror_63,,1,,1,,,,,,,,,,,,,,,,,,,,,,,3,,
brokie,9,21,16,20,1,24,,2,,1,,,,,,,,,,,,,,,,,15,2,
surajiyer,39,24,17,14,4,1,2,,,,1,,,,1,,,,,,,,,,,,78,32,3
NavneetKumar123,,13,1,,,,,,,,,,,,,,,,,,,,,,,,4,1,
