0user_handle,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,800,900,undefined
Fido_Puppy,13,11,9,14,14,15,18,16,14,31,23,12,23,22,18,12,7,9,8,7,1,2,2,,1,,32,8,2
YocyCraft,3,2,1,,7,3,3,1,3,2,1,2,,,2,,,3,,,1,,,,,,16,3,1
cjZYZtcl,3,1,2,3,3,6,5,3,2,9,6,4,5,5,9,3,19,15,22,5,4,,,2,1,2,10,,
Zhouershan,6,5,7,13,9,16,8,13,26,14,37,33,45,50,51,98,26,44,18,21,12,23,16,10,9,8,16,10,28
wenhao0,3,3,7,3,1,,2,4,4,7,8,9,10,13,8,1,8,6,13,,2,7,,2,,,16,1,
OutsiderZz,,5,3,5,6,2,5,5,4,7,3,2,2,9,4,,,,,,,,,,,,23,6,2
cayaxi09,60,63,55,51,54,49,44,42,19,33,17,14,11,5,9,3,3,4,1,,,3,1,,,,327,71,32
masonpop,3,2,3,7,,8,4,5,5,5,6,6,15,11,8,3,5,,,2,,5,,,,1,14,6,
dmraykhan,135,33,1,,,3,,1,,,,,,,,,,,,,,,,,,,82,16,
Tima3,2,5,11,4,6,1,1,5,5,4,5,,1,,,,,,,,,,,,,,33,4,6
Azm1t,21,34,19,3,2,,,,,,,,,,,,,,,,,,,,,,15,6,
envariant,6,5,1,,2,1,,,,,,,,,,,,,,,,,,,,,86,9,
Pouyaaan,29,14,53,26,20,7,3,5,1,1,,,,,,,,,,,,,,,,,211,33,16
Jamshed11,2,3,9,7,15,,,,,,1,,,,,,,,,,,,,,,,9,2,
_helloLad,22,12,7,31,5,3,,,,,,,,,,,,,,,,,,,,,65,17,
H-R-2004,12,16,13,2,1,,1,1,,,,1,,,,,,,,,,,,,,,58,5,
Hasan-Eslami,2,1,2,2,3,,2,,,1,,,,,,,,,,,,,,,,,8,3,
zxcen,,2,,2,,,,1,,,1,1,3,1,,1,3,,3,1,6,1,,1,,,5,,12
