*special,0user_handle,2-sat,binary search,bitmasks,brute force,chinese remainder theorem,combinatorics,constructive algorithms,data structures,dfs and similar,divide and conquer,dp,dsu,expression parsing,fft,flows,games,geometry,graph matchings,graphs,greedy,hashing,implementation,interactive,math,matrices,meet-in-the-middle,number theory,probabilities,schedules,shortest paths,sortings,string suffix structures,strings,ternary search,trees,two pointers
,Fido_Puppy,3,42,26,54,1,16,63,105,46,13,96,20,,1,5,11,11,,38,132,6,66,8,85,1,5,29,5,,15,44,2,27,2,37,33
,YocyCraft,,8,5,10,1,7,16,8,2,2,11,,,,,2,,,2,21,,14,,20,,,7,1,,1,4,,11,,,2
,cjZYZtcl,,9,16,26,,31,30,33,12,12,56,13,,4,7,3,5,7,13,32,6,26,3,60,3,1,16,8,,,9,4,16,1,24,6
6,Zhouershan,2,70,78,117,2,27,81,302,68,49,167,44,2,11,22,5,21,5,89,151,29,82,8,122,17,4,65,18,,19,57,14,38,6,83,24
,wenhao0,1,17,11,18,2,12,11,58,11,9,38,2,,,5,,5,1,5,39,10,23,5,36,3,,7,9,2,2,15,26,29,1,8,28
,OutsiderZz,1,7,1,18,,5,30,26,9,1,15,9,,,1,4,,2,8,45,4,19,1,31,2,,13,2,,,11,2,8,,4,4
27,cayaxi09,3,75,47,182,1,36,189,88,49,15,115,29,4,,4,18,19,4,55,342,10,353,11,375,6,2,77,10,,17,141,2,104,2,25,47
,masonpop,,6,11,14,,12,21,31,9,1,29,14,,,1,1,1,1,32,41,2,22,2,36,,,15,4,,22,24,,7,,9,6
1,dmraykhan,,19,3,50,,4,43,11,4,,16,1,,,,1,4,1,5,88,,137,,88,,,15,,,2,37,,33,,1,12
,Tima3,2,4,9,12,,1,21,10,11,,12,4,,,2,2,1,,16,41,1,27,1,27,,,3,2,,4,12,1,7,,4,5
,Azm1t,,7,,23,,1,21,7,,,2,,,,,2,4,,,45,,34,,45,,,12,,,,21,,6,,,6
,envariant,,,1,17,,3,23,3,,,1,,,,,5,2,,,38,,48,,48,,,6,,,1,10,,7,,,1
3,Pouyaaan,,13,15,65,,20,39,9,3,1,26,,1,,,2,3,2,2,116,3,217,,149,,,32,4,,2,45,,40,,,12
,Jamshed11,,7,1,9,,1,3,8,1,,7,,,,,,1,1,1,20,,25,,14,,,3,,,,14,,3,,1,6
1,_helloLad,1,8,7,37,,4,25,13,2,,12,,,,2,4,2,,4,69,1,82,,41,1,,9,1,,3,25,1,16,,,10
1,H-R-2004,,4,4,22,,3,25,9,1,,3,,,,,4,2,,1,57,1,45,,42,,,3,,,,20,,17,,,8
,Hasan-Eslami,,,,2,,,4,,,1,3,,,,,5,,,1,10,,13,,10,,,2,,,,6,,2,,,
,zxcen,,,2,5,,2,5,9,4,,10,2,,,,2,2,,4,7,,3,,15,,,1,5,,,1,2,1,,4,
,OldMemory,,1,,8,,,6,6,1,,,2,,,,1,,,2,19,1,19,,7,,,1,1,,,1,,9,,,4
,PanzerCrowd,,10,6,20,1,4,27,13,7,,10,1,,,,1,4,,6,47,,23,,39,,,13,4,,4,19,,6,,3,9
