0user_handle,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,800,900,undefined
Fido_Puppy,16,22,12,18,18,22,21,18,17,53,34,42,29,26,24,16,13,9,8,10,1,2,2,,1,,42,10,2
Dominater069,12,6,17,11,9,19,8,1,1,,,1,,,,,,,,,,,,,,,27,4,
ParsaDox,18,16,16,17,18,14,8,11,6,4,4,,1,2,,2,,,1,,,,,,,,64,18,1
zltzlt,1,2,1,5,3,2,4,4,10,4,3,2,3,5,7,1,,4,3,,,2,2,,,,7,4,
ahihi1234,4,9,18,24,11,4,6,4,1,,,1,,,,,,,,,,,,,,,24,7,
aqxa,3,5,1,4,,,,,1,,,,,,,,,,,,,,,,,,27,3,
afuafu,5,1,3,2,8,5,8,9,9,19,13,5,17,20,31,14,7,4,10,,,3,,,,,37,10,
ooscode,31,21,23,31,12,18,9,6,5,6,6,3,5,7,1,,,2,,,,,,,,,248,40,2
Wansur,31,24,66,34,35,42,19,20,15,15,11,5,4,,2,,,1,1,,,,,,,,71,26,12
mhtkrag,2,3,2,3,4,4,3,1,4,1,,,,,,,,,,,,,,,,,10,4,4
Kihihihi,6,6,7,2,4,6,5,4,3,1,1,,1,,,,,,,,,,,,,,25,6,5
janY_,11,10,6,9,8,3,7,5,3,,,1,,,,,,,,,,,,,,,28,6,
molney,41,38,42,40,38,20,,4,,7,,,,,,,,,,,,,,,,,52,41,20
pring,201,,2,4,,6,4,5,1,,,1,1,,,,,,,,,,,,,,537,234,
AbdelmagedNour,39,18,13,11,7,9,5,,1,1,1,1,,,,,,,,,,,,,,,126,32,18
Esomer,10,22,15,17,21,41,44,18,3,3,3,2,1,,,,,,,,,,,,,,72,11,6
Nisanth,9,10,18,14,7,4,7,5,2,3,,,,,,,,,,,,,,,,,31,5,2
RecursiveCo,11,6,9,12,15,7,6,1,1,,,,,,,,,,,,,,,,,,33,9,
Nevll,7,5,1,2,2,1,,1,,2,,,,,,,,,,,,,,,,,28,3,
iliaaaaa,43,40,95,53,88,62,31,26,14,11,3,,3,,1,,,,,,,,,,,,240,42,18
Wael_Zaiback,34,33,41,46,45,65,45,45,31,14,2,2,2,,,,,,,,,,,,,,107,30,2
thomaswmy,2,2,7,5,2,6,13,14,18,22,27,29,17,31,23,27,19,10,8,5,8,3,3,3,,,12,4,21
Psychotic_D,53,34,31,23,23,13,6,5,1,6,2,,1,,,,,,,,,,,,,,112,13,5
