*special,0user_handle,2-sat,binary search,bitmasks,brute force,chinese remainder theorem,combinatorics,constructive algorithms,data structures,dfs and similar,divide and conquer,dp,dsu,expression parsing,fft,flows,games,geometry,graph matchings,graphs,greedy,hashing,implementation,interactive,math,matrices,meet-in-the-middle,number theory,probabilities,schedules,shortest paths,sortings,string suffix structures,strings,ternary search,trees,two pointers
,Fido_Puppy,3,90,38,75,1,21,81,141,58,18,128,22,,1,29,11,11,24,53,177,8,96,8,119,1,5,42,13,,44,64,2,30,4,48,51
,Dominater069,1,7,3,19,,3,27,6,4,,5,2,,,1,1,2,,4,49,3,44,2,41,,,9,2,,,17,2,10,1,2,3
1,ParsaDox,,18,7,46,,12,47,13,10,1,41,2,,1,,6,1,,9,98,3,56,,95,,,16,1,,,36,1,21,1,4,11
,zltzlt,,4,11,15,,10,18,13,9,1,32,5,,2,3,,1,2,17,21,,9,2,26,3,,9,,,2,7,,5,1,12,4
,ahihi1234,,17,4,21,,5,12,10,1,,33,,,,,1,1,1,,35,2,48,1,40,1,,12,1,,,18,,25,1,,9
,aqxa,,,2,11,,,5,,1,,2,,,,,2,1,,2,17,,19,,17,,,1,,,1,3,,6,,1,
,afuafu,,52,27,74,,34,31,75,33,19,93,4,,,,2,9,,20,90,12,57,4,89,8,3,26,6,,9,29,5,24,1,31,25
6,ooscode,4,23,12,76,1,13,77,43,29,2,38,9,3,1,2,7,6,3,24,159,3,204,1,155,,,36,4,2,8,64,1,52,,25,14
16,Wansur,,81,18,78,1,8,70,65,28,5,61,13,1,,,7,6,1,31,122,3,166,10,145,1,4,25,2,,8,79,,27,1,19,24
,mhtkrag,,7,3,4,,4,8,9,3,,6,4,,,,1,3,,8,24,,10,,18,,,2,,,1,8,,4,2,1,5
1,Kihihihi,,7,6,15,,5,12,4,3,,11,,,,,1,,,6,25,2,13,2,46,,,19,1,1,1,5,1,2,,1,2
1,janY_,,10,2,14,,8,24,6,7,,7,3,,,,2,1,,5,37,1,33,,32,,,2,,,1,15,,11,,1,7
2,molney,1,27,6,65,,10,58,25,16,,46,4,,,1,6,8,4,13,107,3,138,,122,1,,36,1,,5,44,,32,2,4,20
16,pring,,16,15,175,1,12,135,11,16,1,36,4,1,,1,9,22,2,12,269,,536,1,381,,,49,3,1,3,101,,101,,6,8
2,AbdelmagedNour,1,22,3,53,1,2,37,12,6,,20,,1,1,2,4,3,3,7,71,3,132,1,105,,,20,2,,3,30,,28,,,11
,Esomer,,34,19,61,1,13,79,28,21,1,44,9,,,2,5,8,2,26,130,4,80,8,122,2,,31,,1,4,44,1,22,,13,20
1,Nisanth,,13,2,21,,4,31,12,5,1,15,1,,,,3,1,,2,46,1,35,5,43,,,16,1,,1,13,,7,1,1,8
,RecursiveCo,,9,2,23,,9,16,11,2,1,20,1,,,1,1,4,,3,42,1,42,,45,1,,11,,,,20,,13,1,3,5
,Nevll,,3,3,8,,3,6,1,5,,9,1,,,,1,,,3,27,,13,,28,,,6,1,,,7,,5,,1,1
4,iliaaaaa,1,80,18,145,,44,110,60,26,10,144,9,1,,1,11,5,3,18,268,6,323,4,279,4,,63,4,,6,127,1,69,7,8,49
1,Wael_Zaiback,,63,24,108,,21,102,71,38,1,105,18,1,,4,9,9,4,41,228,8,170,7,205,1,1,51,1,,13,86,4,48,2,22,51
3,thomaswmy,,44,23,42,2,46,37,113,52,24,111,26,,2,2,5,5,2,52,75,7,57,7,104,15,5,33,36,,17,28,2,11,,42,19
6,Psychotic_D,,18,13,63,,6,65,26,5,2,24,4,1,,1,5,7,3,7,113,4,151,,122,,,21,,,3,44,,39,,2,9
4,zhouqixuan1,,57,13,23,8,17,55,103,94,11,144,38,,,4,3,,4,113,99,3,40,,74,4,5,42,16,,31,45,,4,2,58,27
2,BallBreaker,1,38,12,99,,13,76,36,21,5,40,5,1,1,1,11,8,2,22,192,2,296,1,194,3,,40,3,1,5,71,1,49,1,6,24
,Pols_Agyi_Pols,,18,14,90,,8,40,16,5,,29,1,1,,1,1,8,2,7,104,4,208,1,92,2,,19,2,,2,48,,35,1,,5
3,geospiza,1,34,13,102,2,25,101,50,17,3,70,6,,1,3,13,12,4,23,162,4,115,11,181,1,,72,2,,11,57,2,26,1,13,16
1,dmraykhan,,43,5,84,,9,63,34,12,,49,4,,,,3,6,2,14,154,3,188,,137,1,,30,,1,4,62,,46,,2,31
7,honey,1,28,11,49,,14,97,44,27,5,72,6,,,4,6,8,3,29,119,2,101,9,142,,,36,8,,6,44,2,26,1,12,15
,Tima3,2,21,10,25,,5,40,21,20,1,22,4,,,2,4,3,,27,78,4,60,2,51,2,,14,2,1,7,33,1,15,4,8,15
,Vassu05,1,2,5,15,,2,28,6,,,4,,,,,5,1,,,52,1,37,,26,1,,2,,,,17,1,11,,,3
,ahsoltan,1,15,6,14,,5,32,22,7,2,18,2,,,,4,3,,7,59,3,26,2,41,,,6,2,2,2,21,,9,2,6,12
,Azm1t,1,15,12,39,,7,45,16,,,7,,,,,3,7,,,83,,54,,75,2,,14,,,,44,1,14,1,,9
2,Atekichan,,7,7,27,,5,18,7,5,,11,,1,,,4,2,1,4,32,3,68,,38,,,7,1,,2,19,,13,1,2,2
2,fomomo,,25,9,55,,6,42,27,7,7,34,1,,,,1,5,,5,72,9,52,6,86,,,47,,,3,17,2,21,1,3,7
5,ParsaS,1,163,26,196,1,54,165,95,13,8,182,3,,,1,10,8,3,13,355,12,339,7,390,3,2,150,5,,6,191,2,108,4,2,99
2,AliiSh,1,14,5,38,,7,49,21,34,4,41,13,,1,,7,5,1,34,88,1,75,3,62,2,,19,2,1,15,22,2,24,2,16,6
,a_garg,,8,3,14,,3,33,14,1,,9,1,,,,6,1,,1,65,,47,,34,,,5,,,,12,,7,,,4
,Shifted,,5,2,13,,2,14,7,4,,5,2,,,,3,2,,4,26,,24,,19,1,,2,1,,2,15,,7,,4,4
2,sv1shan,,25,19,84,,13,44,27,32,2,62,11,1,,,5,8,1,28,109,3,160,,112,4,,19,3,,6,43,,26,1,14,13
,Abdulrahman27,,19,5,51,,2,36,13,5,,25,3,1,,,9,2,1,7,70,2,77,,67,1,,7,,,1,29,1,17,,,16
7,tolbi,,31,13,120,,13,88,22,22,1,55,4,1,,1,9,13,3,16,209,6,260,3,239,,,53,2,,6,77,1,63,1,4,18
,Final_Track,1,7,6,11,,,21,11,1,1,5,1,,,1,3,,,2,41,,23,1,11,1,,,,,1,7,1,6,,,7
,aniket_kundu,,15,11,38,,13,52,15,9,,29,2,,,1,4,3,,10,86,2,67,2,87,,,27,2,1,2,29,,20,,10,15
2,Teja-Smart,1,29,10,70,1,12,76,26,7,2,54,3,,1,1,6,7,1,6,138,2,149,,142,1,,30,3,,3,44,,44,1,2,18
,AKSLEGION,,,,3,,2,7,3,,,2,,,,,,,,,9,,11,,8,,,2,,,1,4,,4,,,1
6,Issa,,66,19,85,,10,49,88,66,6,88,25,1,,,6,9,2,47,151,7,216,6,162,1,1,35,2,1,16,61,3,52,2,49,35
4,The_Hallak,,35,16,155,,21,127,43,11,1,50,3,2,,,12,22,,9,233,4,376,3,283,1,1,55,4,2,2,82,,66,1,4,19
,Xc4l16r3,,20,2,40,,3,40,25,14,1,32,2,,,,1,5,,21,64,2,33,11,53,1,,17,3,,7,32,,8,2,11,10
,Nahida__,,22,8,30,,7,38,27,11,2,21,1,,,,5,4,1,9,87,11,48,8,52,,,15,4,,4,26,4,24,1,6,14
7,Coder_Nayak,1,41,28,205,,31,143,34,18,2,81,5,1,,2,15,38,5,22,309,3,530,1,460,,,101,5,,5,112,,95,2,5,24
6,tanaygad,,3,1,8,,3,17,2,1,,6,1,1,,1,,,,1,35,,17,,28,,,12,,,,9,,3,,,3
2,economist,,21,13,48,1,10,78,31,35,5,37,8,,,1,7,4,,28,114,2,62,6,78,,,26,5,1,4,32,,14,,19,18
3,yuan-shen,,11,8,38,,3,33,12,2,,7,1,2,,1,6,2,2,2,80,,113,,67,,,8,,,1,20,,34,,1,6
,Mercy.,,3,4,13,,1,13,3,1,,6,,,,,,1,,2,27,1,19,,23,2,,6,,,1,9,,4,,,4
,zhenghanyun,,10,2,8,,1,11,7,,,18,1,,,1,6,2,1,,25,,13,8,13,1,,2,,,,14,,4,,,4
,envariant,,6,3,40,,5,66,12,,,7,,,,,7,6,,2,118,,94,,114,,,20,,,2,43,,20,,,11
,caoshurui,,55,30,86,,22,68,74,60,2,130,24,2,,,6,5,1,70,197,17,183,5,138,2,2,38,7,,22,84,5,51,,44,42
5,sashko123,,3,4,32,,4,28,6,2,1,7,,1,,1,1,3,1,2,62,,78,5,76,,,18,1,,,19,,24,,1,1
4,Mohamed_Reda,,1,3,14,,2,33,8,1,,4,,,,,6,1,,1,52,,54,1,35,,,4,1,,1,18,,14,,,6
,Beacon,,3,3,1,,1,8,1,1,,3,1,,,,,,,1,15,,8,,15,,,3,,,,4,,2,,,
1,angryarabianman,,2,3,15,,,16,3,4,,4,,,,,,2,,,31,,25,,27,1,,8,,,1,12,,4,,3,2
,Jlyfish,,9,4,22,,1,20,10,6,1,9,2,,,,2,2,,4,48,,40,,36,,,2,,,2,22,,10,,5,10
